,GoodStudent,Age,SocioEcon,RiskAversion,VehicleYear,ThisCarDam,RuggedAuto,Accident,MakeModel,DrivQuality,Mileage,Antilock,DrivingSkill,SeniorTrain,ThisCarCost,Theft,CarValue,HomeBase,AntiTheft,PropCost,OtherCarCost,OtherCar,MedCost,Cushioning,Airbag,ILiCost,DrivHist
0,0,41,22,3,33,17,4,18,26,47,5,0,27,0,36,0,24,12,0,36,39,1,39,47,0,39,38
1,0,15,22,42,6,2,16,2,26,32,5,0,32,1,39,0,36,12,1,39,39,1,39,8,1,39,25
2,0,15,28,45,6,2,16,2,46,35,9,1,32,0,39,0,5,12,0,39,39,0,39,8,1,39,11
3,0,20,14,32,33,2,4,2,26,32,23,0,32,0,39,0,24,10,0,39,39,1,39,29,0,39,25
4,0,20,22,32,33,17,16,17,26,47,23,0,27,0,36,0,24,12,0,36,39,0,39,29,0,39,38
5,0,41,28,32,6,17,4,17,37,47,23,1,27,0,43,0,5,10,1,43,43,1,36,47,1,39,38
6,0,15,28,32,6,18,16,18,26,47,24,0,27,0,36,0,36,7,1,36,39,0,39,35,1,39,38
7,0,41,22,32,33,34,4,34,26,47,5,0,27,0,36,0,36,12,0,40,43,1,39,29,0,39,38
8,0,41,22,32,33,34,4,34,26,47,5,0,27,0,36,0,24,12,0,43,36,0,36,47,0,39,38
9,1,20,22,42,33,34,16,34,46,47,5,0,27,0,36,0,24,12,1,43,43,1,39,8,0,39,38
10,0,41,22,3,6,2,16,2,26,35,23,0,30,0,39,0,36,12,0,39,39,0,39,8,1,39,25
11,0,41,22,32,33,34,4,17,26,47,9,0,27,0,36,0,24,12,0,36,39,0,39,47,0,43,38
12,0,41,22,32,33,2,31,2,46,32,5,0,32,0,39,0,36,12,0,39,39,0,39,35,1,39,11
13,0,41,28,32,33,2,31,2,19,32,5,1,32,0,39,0,23,10,1,39,39,1,39,8,0,39,25
14,0,41,14,32,33,2,16,18,46,47,23,0,27,0,39,0,5,10,0,39,39,1,39,8,0,39,38
15,0,41,14,42,6,2,16,2,46,32,5,0,32,0,39,0,5,7,1,39,39,1,39,35,1,39,25
16,0,41,22,32,33,17,4,17,37,47,23,0,27,0,43,0,5,12,0,40,43,0,39,47,0,39,38
17,0,41,22,32,33,2,31,2,46,32,5,0,32,0,39,0,36,13,0,36,39,1,39,35,1,39,25
18,0,41,22,45,33,2,16,2,46,32,5,0,32,0,39,0,24,13,0,39,39,1,39,29,0,39,11
19,1,20,28,32,6,2,16,2,19,32,9,1,32,0,39,0,23,7,1,39,39,1,39,8,1,39,25
20,0,15,28,32,6,2,4,2,37,32,5,1,32,0,39,0,23,7,0,39,39,1,39,47,1,39,25
21,1,20,28,3,33,18,16,18,19,47,23,1,27,0,39,0,5,10,0,39,39,1,39,29,0,39,38
22,0,41,14,32,33,2,16,2,46,35,23,0,30,0,39,0,24,10,0,39,39,1,39,8,0,39,25
23,0,15,22,32,33,18,4,18,26,47,24,0,27,0,39,0,36,12,0,39,39,0,39,47,0,39,38
