BIC - Goal,BIC,F1 Score,Accuracy,Precision,Recall,SHD,SLF,TLF
1198.5621958930988,7964.682328603293,0.1886792452830189,0.8868421052631579,0.17857142857142858,0.2,43,0.2,0.24
989.701516012673,7755.821648722867,0.16326530612244897,0.8921052631578947,0.16666666666666666,0.16,41,0.16,0.24
989.701516012673,7755.821648722867,0.16326530612244897,0.8921052631578947,0.16666666666666666,0.16,41,0.16,0.24
934.7352958240017,7700.855428534196,0.16326530612244897,0.8921052631578947,0.16666666666666666,0.16,41,0.16,0.24
875.7977888669357,7641.91792157713,0.21276595744680854,0.9026315789473685,0.22727272727272727,0.2,37,0.2,0.24
850.5594208805169,7616.679553590711,0.21276595744680854,0.9026315789473685,0.22727272727272727,0.2,37,0.2,0.24
814.0050802238193,7580.125212934014,0.20833333333333331,0.9,0.21739130434782608,0.2,38,0.2,0.24
772.2745145416748,7538.394647251869,0.21276595744680854,0.9026315789473685,0.22727272727272727,0.2,37,0.2,0.24
704.9235735034144,7471.043706213609,0.2553191489361702,0.9078947368421053,0.2727272727272727,0.24,35,0.24,0.28
617.8144416756113,7383.934574385806,0.2608695652173913,0.9105263157894737,0.2857142857142857,0.24,34,0.24,0.32
583.8064057391093,7349.926538449304,0.2608695652173913,0.9105263157894737,0.2857142857142857,0.24,34,0.24,0.32
554.6190092528941,7320.7391419630885,0.3111111111111111,0.9184210526315789,0.35,0.28,31,0.28,0.36
545.9449459995258,7312.06507870972,0.3111111111111111,0.9184210526315789,0.35,0.28,31,0.28,0.36
494.0660660334006,7260.186198743595,0.34782608695652173,0.9210526315789473,0.38095238095238093,0.32,30,0.32,0.4
470.48962453390504,7236.6097572440995,0.3404255319148936,0.9184210526315789,0.36363636363636365,0.32,31,0.32,0.4
414.8762775316309,7180.996410241825,0.4255319148936171,0.9289473684210526,0.45454545454545453,0.4,27,0.4,0.48
404.0324329635778,7170.152565673772,0.391304347826087,0.9263157894736842,0.42857142857142855,0.36,28,0.36,0.44
404.0324329635778,7170.152565673772,0.391304347826087,0.9263157894736842,0.42857142857142855,0.36,28,0.36,0.44
335.1348046211033,7101.254937331298,0.3829787234042554,0.9236842105263158,0.4090909090909091,0.36,29,0.36,0.48
332.3715771403149,7098.491709850509,0.391304347826087,0.9263157894736842,0.42857142857142855,0.36,28,0.36,0.48
329.8849630918121,7096.0050958020065,0.391304347826087,0.9263157894736842,0.42857142857142855,0.36,28,0.36,0.48
320.0574937066722,7086.177626416867,0.39999999999999997,0.9289473684210526,0.45,0.36,27,0.36,0.48
315.5300180428212,7081.650150753016,0.3829787234042554,0.9236842105263158,0.4090909090909091,0.36,29,0.36,0.48
276.801245572733,7042.921378282927,0.43478260869565216,0.9315789473684211,0.47619047619047616,0.4,26,0.4,0.52
