BIC - Goal,BIC,F1 Score,Accuracy,Precision,Recall,SHD,SLF,TLF
1690.0808022606025,8493.6422623402,0,0.9315789473684211,0.0,0.0,26,0.0,0.04
1473.7631414771413,8277.324601556738,0,0.9289473684210526,0.0,0.0,27,0.0,0.08
1269.8165781545995,8073.3780382341965,0.07142857142857142,0.9315789473684211,0.3333333333333333,0.04,26,0.04,0.12
1084.5202419770785,7888.081702056676,0.13793103448275865,0.9342105263157895,0.5,0.08,25,0.08,0.16
917.4747770940521,7721.036237173649,0.13333333333333333,0.9315789473684211,0.4,0.08,26,0.08,0.2
818.215340375059,7621.776800454656,0.12903225806451613,0.9289473684210526,0.3333333333333333,0.08,27,0.08,0.24
726.2119650248851,7529.773425104482,0.1875,0.9315789473684211,0.42857142857142855,0.12,26,0.12,0.28
635.9914890275186,7439.552949107116,0.18181818181818182,0.9289473684210526,0.375,0.12,27,0.12,0.32
549.5938942763723,7353.155354355969,0.23529411764705882,0.9315789473684211,0.4444444444444444,0.16,26,0.16,0.36
472.3403998181375,7275.9018598977345,0.22857142857142856,0.9289473684210526,0.4,0.16,27,0.16,0.36
397.5193958214868,7201.080855901084,0.2222222222222222,0.9263157894736842,0.36363636363636365,0.16,28,0.16,0.36
352.5910697307345,7156.1525298103315,0.2702702702702703,0.9289473684210526,0.4166666666666667,0.2,27,0.2,0.4
309.28430680683505,7112.845766886432,0.3157894736842105,0.9315789473684211,0.46153846153846156,0.24,26,0.24,0.44
271.07398124020074,7074.635441319798,0.358974358974359,0.9342105263157895,0.5,0.28,25,0.28,0.48
229.6328351303746,7033.194295209972,0.41025641025641024,0.9394736842105263,0.5714285714285714,0.32,23,0.32,0.48
197.81837309337334,7001.37983317297,0.45,0.9421052631578948,0.6,0.36,22,0.36,0.52
168.5492752124983,6972.110735292095,0.48780487804878053,0.9447368421052632,0.625,0.4,21,0.4,0.56
145.23190525169048,6948.7933653312875,0.5238095238095238,0.9473684210526315,0.6470588235294118,0.44,20,0.44,0.6
127.42670768938024,6930.988167768977,0.5581395348837209,0.95,0.6666666666666666,0.48,19,0.48,0.64
111.20652697452806,6914.767987054125,0.5454545454545454,0.9473684210526315,0.631578947368421,0.48,20,0.48,0.68
108.07980145823876,6911.641261537836,0.5333333333333332,0.9447368421052632,0.6,0.48,21,0.48,0.72
106.06185318483585,6909.623313264433,0.5217391304347826,0.9421052631578948,0.5714285714285714,0.48,22,0.48,0.76
