BIC - Goal,BIC,F1 Score,Accuracy,Precision,Recall,SHD,SLF,TLF
20680.782325971755,143632.52454798645,0.14814814814814817,0.8789473684210526,0.13793103448275862,0.16,46,0.16,0.32
20432.526395624445,143384.26861763914,0.20833333333333331,0.9,0.21739130434782608,0.2,38,0.2,0.36
17020.216868829157,139971.95909084385,0.16666666666666666,0.868421052631579,0.14285714285714285,0.2,50,0.2,0.36
15188.125154669135,138139.86737668383,0.10344827586206896,0.8631578947368421,0.09090909090909091,0.12,52,0.12,0.36
14181.239343832829,137132.98156584753,0.10344827586206896,0.8631578947368421,0.09090909090909091,0.12,52,0.12,0.36
13867.028240360669,136818.77046237537,0.17543859649122806,0.8763157894736842,0.15625,0.2,47,0.2,0.44
13612.0661974244,136563.8084194391,0.10169491525423728,0.8605263157894737,0.08823529411764706,0.12,53,0.12,0.4
12351.927436879778,135303.66965889448,0.1379310344827586,0.868421052631579,0.12121212121212122,0.16,50,0.16,0.4
12247.261482586153,135199.00370460085,0.14285714285714285,0.8736842105263158,0.12903225806451613,0.16,48,0.16,0.4
11538.078112809482,134489.82033482418,0.15094339622641512,0.881578947368421,0.14285714285714285,0.16,45,0.16,0.52
9103.574908561888,132055.3171305766,0.16666666666666666,0.868421052631579,0.14285714285714285,0.2,50,0.2,0.56
9103.574908561888,132055.3171305766,0.16666666666666666,0.868421052631579,0.14285714285714285,0.2,50,0.2,0.56
9058.511085243634,132010.25330725833,0.17857142857142855,0.8789473684210526,0.16129032258064516,0.2,46,0.2,0.52
9050.27357330895,132002.01579532365,0.13559322033898305,0.8657894736842106,0.11764705882352941,0.16,51,0.16,0.52
8881.745233370602,131833.4874553853,0.20338983050847456,0.8763157894736842,0.17647058823529413,0.24,47,0.24,0.52
8113.087068491048,131064.82929050575,0.20689655172413793,0.8789473684210526,0.18181818181818182,0.24,46,0.24,0.56
7965.497989559997,130917.2402115747,0.20689655172413793,0.8789473684210526,0.18181818181818182,0.24,46,0.24,0.56
7573.814236750448,130525.55645876515,0.20689655172413793,0.8789473684210526,0.18181818181818182,0.24,46,0.24,0.56
7250.759713778258,130202.50193579296,0.23728813559322035,0.881578947368421,0.20588235294117646,0.28,45,0.28,0.6
6924.93444701143,129876.67666902613,0.25925925925925924,0.8947368421052632,0.2413793103448276,0.28,40,0.28,0.56
5909.43855732886,128861.18077934356,0.2857142857142857,0.8947368421052632,0.25806451612903225,0.32,40,0.32,0.6
5909.43855732886,128861.18077934356,0.2857142857142857,0.8947368421052632,0.25806451612903225,0.32,40,0.32,0.6
5909.43855732886,128861.18077934356,0.2857142857142857,0.8947368421052632,0.25806451612903225,0.32,40,0.32,0.6
5909.43855732886,128861.18077934356,0.2857142857142857,0.8947368421052632,0.25806451612903225,0.32,40,0.32,0.6
5642.513209291239,128594.25543130594,0.2909090909090909,0.8973684210526316,0.26666666666666666,0.32,39,0.32,0.64
5614.828539727343,128566.57076174204,0.2909090909090909,0.8973684210526316,0.26666666666666666,0.32,39,0.32,0.64
5444.041533258001,128395.7837552727,0.2758620689655172,0.8894736842105263,0.24242424242424243,0.32,42,0.32,0.6
5394.626553372218,128346.36877538692,0.25,0.8894736842105263,0.22580645161290322,0.28,42,0.28,0.64
4940.327533072719,127892.06975508742,0.33962264150943394,0.9078947368421053,0.32142857142857145,0.36,35,0.36,0.64
4447.607973110542,127399.35019512524,0.30508474576271183,0.8921052631578947,0.2647058823529412,0.36,41,0.36,0.68
